id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
12086,"Miami-Dade County, Florida",1791461,28042,17178,21867,30277,40559,58766
12087,"Monroe County, Florida",58160,30110,17012,25309,30796,34482,52310
12089,"Nassau County, Florida",53375,32278,21448,30621,30988,44816,65563
12091,"Okaloosa County, Florida",127352,32658,17831,24285,33072,43952,70977
12093,"Okeechobee County, Florida",26477,25063,19300,26071,26777,39792,50714
12095,"Orange County, Florida",776316,30714,17437,23523,30468,41672,58286
12097,"Osceola County, Florida",185539,27050,19483,23305,27479,36724,59545
12099,"Palm Beach County, Florida",973427,32279,17227,26130,31874,46306,60474
12101,"Pasco County, Florida",339263,32016,20180,25264,31934,46187,54708
12103,"Pinellas County, Florida",694297,32448,20339,26572,31823,45567,60029
12105,"Polk County, Florida",419199,29905,18138,25299,30796,41818,50582
12107,"Putnam County, Florida",51172,26399,16409,25969,29821,36612,46875
12109,"St. Johns County, Florida",141176,38022,19990,28681,33212,50281,70993
12111,"St. Lucie County, Florida",200869,28077,19293,24018,30193,40263,45212
12113,"Santa Rosa County, Florida",108021,34870,21319,27119,32496,48648,65525
12115,"Sarasota County, Florida",303230,29862,20081,24441,28171,40570,53455
12117,"Seminole County, Florida",294012,35101,18796,26475,30762,45012,62103
12119,"Sumter County, Florida",90295,21522,14836,22782,18973,40625,24755
12121,"Suwannee County, Florida",30660,24614,23043,22473,26613,39536,63767
12123,"Taylor County, Florida",16606,26046,14610,26070,26652,34936,42852
12127,"Volusia County, Florida",361709,28560,20694,24090,27834,39661,50907
12129,"Wakulla County, Florida",21185,32757,28631,30300,32322,39193,52072
12131,"Walton County, Florida",41818,27442,19713,21173,27480,47016,36967
12133,"Washington County, Florida",17412,25783,17434,24537,24236,37039,49952
13009,"Baldwin County, Georgia",27660,27688,15404,23424,26507,39680,51800
13013,"Barrow County, Georgia",45464,32380,25111,30355,31661,43469,51652
13015,"Bartow County, Georgia",65407,31790,17833,27001,33178,44829,53429
13021,"Bibb County, Georgia",99652,27700,14171,23702,27257,39675,54121
13029,"Bryan County, Georgia",20434,40687,20925,31848,36524,51055,61336
13031,"Bulloch County, Georgia",37829,28995,18174,22359,26957,38015,57342
13033,"Burke County, Georgia",14482,30266,30662,25986,30263,32452,59063
13035,"Butts County, Georgia",15851,29335,14491,28916,35115,43750,78316
13039,"Camden County, Georgia",31212,34169,16533,28198,33823,41670,55709
