Hot Springs,140
Hoxie,6
Jacksonville,217
Jonesboro,313
Kensett,3
Lake City,3
Lakeview,1
Lake Village,31
Lamar,3
Leachville,5
Lepanto,10
Lincoln,3
Little Rock,2777
Lonoke,32
Lowell,6
Magnolia,48
Malvern,8
Marianna,8
Marion,91
Marmaduke,4
Marvell,2
Maumelle,20
Mayflower,6
McCrory,0
McGehee,57
McRae,1
Mena,21
Mineral Springs,1
Monette,3
Monticello,47
Morrilton,18
Mountain Home,24
Mountain View,10
Mulberry,10
Murfreesboro,0
Nashville,5
Newport,28
North Little Rock,461
Ola,3
Osceola,99
Ozark,18
Pangburn,0
Paragould,127
Paris,35
Pea Ridge,6
Perryville,1
Piggott,9
Plummerville,7
Pottsville,6
Prairie Grove,14
Quitman,0
Redfield,1
Rison,2
Rogers,208
Russellville,94
Salem,8
Sheridan,13
Sherwood,130
Siloam Springs,46
Springdale,354
Stamps,4
Star City,12
Stuttgart,44
Swifton,0
Texarkana,305
Trumann,60
Van Buren,107
Vilonia,6
Waldron,16
Walnut Ridge,6
Ward,28
Warren,22
White Hall,5
Wynne,33
Adelanto,198
Agoura Hills,19
Alameda,158
Albany,29
Alhambra,163
Aliso Viejo,25
Alturas,28
American Canyon,54
Anaheim,1130
Anderson,63
Antioch,946
Apple Valley,185
Arcadia,77
Arcata,67
Arroyo Grande,31
Artesia,63
Arvin,153
Atascadero,97
Atherton,10
Atwater,182
Auburn,49
Avalon,4
Avenal,62
Azusa,246
Bakersfield,1857
Baldwin Park,220
Banning,129
Barstow,229
Bear Valley,12
Beaumont,85
Bell,208
Bellflower,279
Bell Gardens,120
Belmont,27
Belvedere,0
Benicia,30
Berkeley,562
Beverly Hills,77
Big Bear Lake,56
Biggs,16
Bishop,28
Blythe,65
Bradbury,1
Brawley,61
Brea,64
Brentwood,89
Brisbane,5
Broadmoor,14
Buellton,7
Buena Park,221
Burbank,171
Burlingame,37
Calabasas,20
Calexico,92
California City,87
Calimesa,14
Calistoga,9
Camarillo,73
Campbell,106
Canyon Lake,3
Capitola,38
Carlsbad,221
Carmel,9
Carpinteria,21
Carson,400
Cathedral City,149
Central Marin,41
Ceres,133
Cerritos,82
Chico,299
Chino,258
Chino Hills,63
Chowchilla,81
Chula Vista,595
Citrus Heights,320
City of Angels,9
Claremont,37
Clayton,2
Clearlake,125
Cloverdale,5
Clovis,181
Coachella,118
Coalinga,131
Colma,5
Colton,161
Colusa,10
Commerce,83
Compton,1242
Concord,407
Corcoran,71
Corning,47
Corona,162
Coronado,11
Costa Mesa,252
Cotati,35
Covina,138
Crescent City,94
Cudahy,111
Culver City,161
Cupertino,41
Cypress,50
Daly City,223
Dana Point,70
Danville,17
Davis,103
Delano,309
Del Mar,16
Del Rey Oaks,5
Desert Hot Springs,277
Diamond Bar,62
