date,value
27/06/2005,1190.689941
28/06/2005,1201.569946
29/06/2005,1199.849976
30/06/2005,1191.329956
1/07/2005,1194.439941
5/07/2005,1204.98999
6/07/2005,1194.939941
7/07/2005,1197.869995
8/07/2005,1211.859985
11/07/2005,1219.439941
12/07/2005,1222.209961
13/07/2005,1223.290039
14/07/2005,1226.5
15/07/2005,1227.920044
18/07/2005,1221.130005
19/07/2005,1229.349976
20/07/2005,1235.199951
21/07/2005,1227.040039
22/07/2005,1233.680054
25/07/2005,1229.030029
26/07/2005,1231.160034
27/07/2005,1236.790039
28/07/2005,1243.719971
29/07/2005,1234.180054
1/08/2005,1235.349976
2/08/2005,1244.119995
3/08/2005,1245.040039
4/08/2005,1235.859985
5/08/2005,1226.420044
8/08/2005,1223.130005
9/08/2005,1231.380005
10/08/2005,1229.130005
11/08/2005,1237.810059
12/08/2005,1230.390015
15/08/2005,1233.869995
16/08/2005,1219.339966
17/08/2005,1220.23999
18/08/2005,1219.02002
19/08/2005,1219.709961
22/08/2005,1221.72998
23/08/2005,1217.589966
24/08/2005,1209.589966
25/08/2005,1212.369995
26/08/2005,1205.099976
29/08/2005,1212.280029
30/08/2005,1208.410034
31/08/2005,1220.329956
1/09/2005,1221.589966
2/09/2005,1218.02002
6/09/2005,1233.390015
7/09/2005,1236.359985
8/09/2005,1231.670044
9/09/2005,1241.47998
12/09/2005,1240.560059
13/09/2005,1231.199951
14/09/2005,1227.160034
15/09/2005,1227.72998
16/09/2005,1237.910034
19/09/2005,1231.02002
20/09/2005,1221.339966
21/09/2005,1210.199951
22/09/2005,1214.619995
23/09/2005,1215.290039
26/09/2005,1215.630005
27/09/2005,1215.660034
28/09/2005,1216.890015
29/09/2005,1227.680054
30/09/2005,1228.810059
3/10/2005,1226.699951
4/10/2005,1214.469971
5/10/2005,1196.390015
6/10/2005,1191.48999
7/10/2005,1195.900024
10/10/2005,1187.329956
11/10/2005,1184.869995
12/10/2005,1177.680054
13/10/2005,1176.839966
14/10/2005,1186.569946
17/10/2005,1190.099976
18/10/2005,1178.140015
19/10/2005,1195.76001
20/10/2005,1177.800049
21/10/2005,1179.589966
24/10/2005,1199.380005
25/10/2005,1196.540039
26/10/2005,1191.380005
27/10/2005,1178.900024
28/10/2005,1198.410034
31/10/2005,1207.01001
1/11/2005,1202.76001
2/11/2005,1214.76001
3/11/2005,1219.939941
4/11/2005,1220.140015
7/11/2005,1222.810059
8/11/2005,1218.589966
9/11/2005,1220.650024
10/11/2005,1230.959961
11/11/2005,1234.719971
14/11/2005,1233.76001
15/11/2005,1229.01001
16/11/2005,1231.209961
17/11/2005,1242.800049
18/11/2005,1248.27002
21/11/2005,1254.849976
22/11/2005,1261.22998
23/11/2005,1265.609985
25/11/2005,1268.25
28/11/2005,1257.459961
29/11/2005,1257.47998
30/11/2005,1249.47998
1/12/2005,1264.670044
2/12/2005,1265.079956
5/12/2005,1262.089966
