serial,opeid,institution,address,city,state,zip,repayment_borrowers,default_borrowers,default_rate,borrower_default_count_240,principal_outstanding_240
8025,3014900,Platt College,3100 South Parker Road Suite 200,Aurora,CO,80014-3141,23,2,8.70%,21,61083
703,729700,Redstone College,10851 West 120th Avenue,Broomfield,CO,80020-9988,8,1,12.50%,502,824198
737,136300,Regis University,3333 Regis Boulevard,Denver,CO,80221-1099,140,7,5.00%,53,154523
745,136800,Trinidad State Junior College,600 Prospect Street,Trinidad,CO,81082-2396,0,0,0%,9,5190
749,450900,University of Colorado at Colorado Springs,1420 Austin Bluffs Parkway,Colorado Springs,CO,80918-3735,106,20,18.87%,320,1046294
748,137000,University of Colorado Boulder,Regent Adminstrative Center 175,Boulder,CO,80309-0077,431,12,2.78%,876,2699379
747,450800,University of Colorado Denver,1380 Lawrence Street,Denver,CO,80204-2029,236,23,9.75%,192,573388
751,137100,University of Denver,University Park Campus,Denver,CO,80208-2000,417,6,1.44%,156,686063
752,134900,University of Northern Colorado,501 20th Street,Greeley,CO,80639-0001,460,72,15.65%,581,1050937
755,137200,Western State Colorado University,Taylor Hall,Gunnison,CO,81231-0000,63,6,9.52%,209,401079
712,754800,Westwood College - Denver North,7350 North Broadway,Denver,CO,80221-3653,17,1,5.88%,409,733152
757,137400,Albertus Magnus College,700 Prospect Street,New Haven,CT,06511-1189,51,19,37.25%,91,163779
771,763500,Capital Community College,950 Main,Hartford,CT,06103-1207,0,0,0%,2,1200
763,137800,Central Connecticut State University,1615 Stanley Street,New Britain,CT,06050-2490,271,51,18.82%,598,1053994
767,137900,Connecticut College,270 Mohegan Avenue,New London,CT,06320-4196,169,11,6.51%,131,300775
769,142500,Eastern Connecticut State University,83 Windham Street,Willimantic,CT,06226-2295,61,6,9.84%,323,421665
770,138500,Fairfield University,1073 North Benson Road,Fairfield,CT,06824-5171,229,5,2.18%,139,200849
7930,730300,Lincoln Technical Institute,200 John Downey Drive,New Britain,CT,06051-2904,0,0,0%,9,17251
776,139200,Manchester Community College,Great Path,Manchester,CT,06045-1046,2,0,0%,19,22297
778,803800,Middlesex Community College,100 Training Hill Road,Middletown,CT,06457-4889,1,1,100%,9,19863
779,139300,Mitchell College,437 Pequot Avenue,New London,CT,06320-4498,39,8,20.51%,181,314262
777,698200,Naugatuck Valley Community College,750 Chase Parkway,Waterbury,CT,06708-3089,0,0,0%,181,155540
786,745900,Paier College of Art,20 Gorham Avenue,Hamden,CT,06514-3902,25,3,12.00%,16,36049
787,140100,Post University,800 Country Club Road,Waterbury,CT,06723-3240,63,42,66.67%,138,270432
789,140200,Quinnipiac University,275 Mount Carmel Avenue,Hamden,CT,06518-1908,273,3,1.10%,110,247639
791,140300,Sacred Heart University,5151 Park Avenue,Fairfield,CT,06825-1000,33,3,9.09%,42,84701
796,140600,Southern Connecticut State University,501 Crescent Street,New Haven,CT,06515-1355,159,37,23.27%,615,1264236
782,1242500,Stone Academy,1315 Dixwell Avenue,Hamden,CT,06514-4125,109,22,20.18%,112,175507
780,976500,Three Rivers Community College,574 New London Turnpike,Norwich,CT,06360-6598,0,0,0%,92,72353
799,141400,Trinity College,300 Summit Street,Hartford,CT,06106-3100,90,9,10.00%,55,211725
800,976400,Tunxis Community College,271 Scott Swamp Road,Farmington,CT,06032-3187,20,1,5.00%,25,58236
801,141600,University of Bridgeport,126 Park Avenue,Bridgeport,CT,06601-5650,261,55,21.07%,626,1814944
802,141700,University of Connecticut,352 Mansfield Road,Storrs,CT,06269-2151,878,49,5.58%,568,1013563
803,142200,University of Hartford,200 Bloomfield Avenue,West Hartford,CT,06117-1599,249,17,6.83%,410,696694
804,139700,University of New Haven,300 Boston Post Road,West Haven,CT,06516-1999,121,24,19.83%,313,770733
792,140900,University of Saint Joseph,1678 Asylum Avenue,West Hartford,CT,06117-2791,76,18,23.68%,53,218512
807,142400,Wesleyan University,237 High Street,Middletown,CT,06459-3208,243,18,7.41%,146,642423
808,138000,Western Connecticut State University,181 White Street,Danbury,CT,06810-6826,116,14,12.07%,293,587881
809,142600,Yale University,246 Church Street,New Haven,CT,06520-8288,452,25,5.53%,287,1735979
822,143400,American University (The),4400 Massachusetts Avenue NW,Washington,DC,20016-8020,246,18,7.32%,427,950887
830,143700,Catholic University of America (The),620 Michigan Avenue  Northeast,Washington,DC,20064-0002,254,16,6.30%,403,773570
